title,link,price,likes
NETGEAR 8-Port Gigabit Ethernet Unmanaged PoE Switch (GS108PEv3) $62.19,https://slickdeals.net/f/14085968-netgear-8-port-gigabit-ethernet-unmanaged-poe-switch-gs108pev3-62-19?src=catpagev2,$62.19 ,8
"ASUS VP28UQG 28"" 16:9 4K UHD Adaptive-Sync TN Gaming Monitor - $259 B&H FS",https://slickdeals.net/f/14085137-asus-vp28uqg-28-16-9-4k-uhd-adaptive-sync-tn-gaming-monitor-259-b-h-fs?src=catpagev2,$259 ,23
Costco Wholesale,https://slickdeals.net/coupons/costco-wholesale/,"$1,549.99 ",0
PCDD: Phase One Capture One Pro 20 Photo Editing Software + $25 Adorama GC,https://slickdeals.net/f/14084009-pcdd-phase-one-capture-one-pro-20-photo-editing-software-25-adorama-gc-179?src=catpagev2,$179 ,25
PNY Type C SD card reader YMMV  (Walmart in store) $7,https://slickdeals.net/f/14085593-pny-type-c-sd-card-reader-ymmv-walmart-in-store-7?src=catpagev2,$7 ,2
128GB KEXIN Metal Dual USB 3.0 Type-C Flash Drive $18.19 @Amazon,https://slickdeals.net/f/14084156-128gb-kexin-metal-dual-usb-3-0-type-c-flash-drive-18-19-amazon?src=catpagev2,$18.19 ,6
Costco Wholesale,https://slickdeals.net/coupons/costco-wholesale/,$199.99 ,16
SanDisk 500GB Extreme Portable External SSD $80< at Amazon $81.77,https://slickdeals.net/f/14076293-sandisk-500gb-extreme-portable-external-ssd-80-at-amazon-81-77?src=catpagev2,$81.77 ,2
Brother MFC-L2750DW All in One Laser Printer Refurb $152 AC + FS,https://slickdeals.net/f/14074124-brother-mfc-l2750dw-all-in-one-laser-printer-refurb-152-ac-fs?src=catpagev2,$152 ,18
Dell EPP,https://slickdeals.net/coupons/dell-epp/,$832.99 ,43
"MS store, Surface Pro 7(128gb) with keyboard for $799",https://slickdeals.net/f/14073101-ms-store-surface-pro-7-128gb-with-keyboard-for-799?src=catpagev2,$799.99 ,39
Daily Steals,https://slickdeals.net/coupons/daily-steals/,N/A,20
Walmart $2.50 to $5 PNY 16GB Elite Class 10 U1 MicroSDHC Flash Memory Card 2-Pack  YMMV,https://slickdeals.net/f/14080997-walmart-2-50-to-5-pny-16gb-elite-class-10-u1-microsdhc-flash-memory-card-2-pack-ymmv?src=catpagev2,$2.50 ,12
Ryzen 5 3600 AM4 6-core processor / CPU $172.39 (or $152.39 w/ Amex promo ymmv) + FS @ Amazon,https://slickdeals.net/f/14081957-ryzen-5-3600-am4-6-core-processor-cpu-172-39-or-152-39-w-amex-promo-ymmv-fs-amazon?src=catpagev2,$172.39 ,0
